sku_code,product_name,category,current_supplier,current_unit_cost,monthly_volume_units,contract_end,last_tender_date,pack_size,uom,target_margin_pct,ai_insight
HAI-001,Hydrating Shampoo 300ml,Haircare,Acme Beauty,2.72,52450,2024-12-28,2023-04-28,300,ml,25.2,Over benchmark cost | Contract expiring soon
ORA-002,Whitening Toothpaste 75ml,Oral Care,Acme Beauty,1.05,42926,2024-08-30,2023-10-06,75,ml,19.9,Contract expiring soon | Low margin target
SKI-003,SPF 30 Moisturiser 50ml,Skincare,Unilever,0.66,68688,2024-08-30,2023-09-30,50,ml,29.6,Contract expiring soon
ORA-004,Whitening Toothpaste 75ml,Oral Care,Niche Snacks,3.01,56511,2025-06-26,2023-12-07,75,ml,20.5,Over benchmark cost | Contract expiring soon
SKI-005,Daily Face Wash 150ml,Skincare,Acme Beauty,1.48,38048,2025-12-23,2022-10-31,150,ml,24.3,Over benchmark cost | Contract expiring soon
ORA-006,Fluoride Mouthwash 500ml,Oral Care,Niche Snacks,1.85,38014,2024-12-28,2023-12-28,500,ml,21.5,Contract expiring soon
ORA-007,Fluoride Mouthwash 500ml,Oral Care,Own Label Co.,1.45,29807,2024-12-28,2023-07-28,500,ml,22.4,Contract expiring soon
ORA-008,Fluoride Mouthwash 500ml,Oral Care,Unilever,1.92,49713,2024-08-30,2022-12-10,500,ml,27.4,Contract expiring soon
HAI-009,Repair Conditioner 300ml,Haircare,OptiCare,2.32,46012,2024-12-28,2023-04-08,300,ml,18.6,Contract expiring soon | Low margin target
HAI-010,Scalp Serum 50ml,Haircare,Regional Dairy,2.36,23628,2025-06-26,2023-08-29,50,ml,20.0,Contract expiring soon
DAI-011,Semi-Skimmed Milk 2L,Dairy,Niche Snacks,2.58,35990,2024-12-28,2022-12-29,2,units,23.3,Contract expiring soon
SKI-012,Daily Face Wash 150ml,Skincare,Acme Beauty,0.95,40624,2024-08-30,2023-11-18,150,ml,23.9,Contract expiring soon
ORA-013,Fluoride Mouthwash 500ml,Oral Care,Unilever,1.5,57338,2024-10-29,2023-09-22,500,ml,24.2,Contract expiring soon
DAI-014,Greek Yogurt 500g,Dairy,Regional Dairy,2.19,26687,2025-12-23,2022-12-26,500,g,20.2,Contract expiring soon
ORA-015,Fluoride Mouthwash 500ml,Oral Care,Own Label Co.,0.86,56076,2024-10-29,2023-04-05,500,ml,20.4,Contract expiring soon
HAI-016,Scalp Serum 50ml,Haircare,Acme Beauty,0.73,47570,2024-10-29,2023-04-28,50,ml,21.9,Contract expiring soon
ORA-017,Fluoride Mouthwash 500ml,Oral Care,Regional Dairy,3.0,22822,2024-12-28,2023-05-24,500,ml,22.3,Over benchmark cost | Contract expiring soon
SNA-018,Sea Salt Crisps 150g,Snacks,P&G,1.41,34202,2024-08-30,2023-02-14,150,g,24.5,Contract expiring soon
DAI-019,Greek Yogurt 500g,Dairy,Unilever,0.82,49861,2024-10-29,2023-02-15,500,g,29.8,Contract expiring soon
ORA-020,Fluoride Mouthwash 500ml,Oral Care,Regional Dairy,2.84,39223,2025-12-23,2022-09-21,500,ml,20.4,Over benchmark cost | Contract expiring soon
ORA-021,Fluoride Mouthwash 500ml,Oral Care,P&G,2.84,60464,2024-10-29,2023-04-09,500,ml,18.9,Over benchmark cost | Contract expiring soon | Low margin target
SKI-022,SPF 30 Moisturiser 50ml,Skincare,Niche Snacks,1.64,58969,2025-03-28,2022-12-29,50,ml,19.4,Over benchmark cost | Contract expiring soon | Low margin target
ORA-023,Whitening Toothpaste 75ml,Oral Care,Niche Snacks,1.56,49968,2025-03-28,2023-10-02,75,ml,18.8,Contract expiring soon | Low margin target
HAI-024,Hydrating Shampoo 300ml,Haircare,P&G,1.5,59633,2025-12-23,2023-07-24,300,ml,21.9,Contract expiring soon
DAI-025,Semi-Skimmed Milk 2L,Dairy,Regional Dairy,3.17,57187,2025-03-28,2022-09-11,2,units,23.7,Over benchmark cost | Contract expiring soon
SKI-026,SPF 30 Moisturiser 50ml,Skincare,Niche Snacks,0.95,65343,2024-08-30,2023-09-08,50,ml,26.6,Contract expiring soon
SKI-027,SPF 30 Moisturiser 50ml,Skincare,OptiCare,2.84,50420,2025-12-23,2023-01-20,50,ml,23.9,Over benchmark cost | Contract expiring soon
HAI-028,Repair Conditioner 300ml,Haircare,Regional Dairy,2.12,68070,2024-10-29,2022-09-26,300,ml,23.1,Contract expiring soon
HAI-029,Scalp Serum 50ml,Haircare,Acme Beauty,1.51,46305,2024-12-28,2022-08-09,50,ml,24.1,Contract expiring soon
ORA-030,Whitening Toothpaste 75ml,Oral Care,OptiCare,3.23,40514,2025-12-23,2023-03-04,75,ml,21.0,Over benchmark cost | Contract expiring soon
